Repository Name,Owner,Github Stars,Github commits,Contributors,Github Link
RxJava,ReactiveX,47.7k,6127,297,https://github.com/ReactiveX/RxJava#rxjava-reactive-extensions-for-the-jvm
Elasticsearch,Elastic,68.2k,77453,1940,https://github.com/elastic/elasticsearch
Square,Retrofit,42.7k,2296,159,https://github.com/square/retrofit
OkHttp,Square,45.4k,5647,278,https://github.com/square/okhttp
Spring Boot,Spring Projects,73.3k,49014,1089,https://github.com/spring-projects/spring-boot
Guava,Google,49.6k,6496,304,https://github.com/google/guava
MPAndroidChart,PhilJay,37.3k,2079,69,https://github.com/PhilJay/MPAndroidChart
Gilde,Bumptech,34.4k,2956,149,https://github.com/bumptech/glide
Spring Framework,Spring Projects,55.4k,30262,875,https://github.com/spring-projects/spring-framework
Butterknife,JakeWharton,25.6k,1016,97,https://github.com/JakeWharton/butterknife
Lottie Android,Airbnb,34.7k,1582,144,https://github.com/airbnb/lottie-android
Leakcanary,Square,29.2k,2281,145,https://github.com/square/leakcanary
Dubbo,Apache,40.1k,7549,557,https://github.com/apache/incubator-dubbo
Zxing,Zxing,32.4k,3809,125,https://github.com/zxing/zxing
EventBus,Greenrobot,24.6k,550,22,https://github.com/greenrobot/EventBus
AndroidUtilCode,Blankj,30k,1433,40,https://github.com/Blankj/AndroidUtilCode
Android Universal Image Loader,Nostra13,16.8k,1039,38,https://github.com/nostra13/Android-Universal-Image-Loader
Picasso,Square,18.7k,1696,112,https://github.com/square/picasso
Jadx,Skylot,39.6k,2198,117,https://github.com/skylot/jadx
Fresco,Facebook,17.1k,3823,226,https://github.com/facebook/fresco
Netty,Netty,32.9k,11480,660,https://github.com/netty/netty
Libgdx,Libgdx,22.8k,15364,561,https://github.com/libgdx/libgdx
Hystrix,Netflix,23.9k,2119,113,https://github.com/Netflix/Hystrix
Fastjson,Alibaba,25.7k,3983,178,https://github.com/alibaba/fastjson
BaseRecyclerViewAdapterHelper,CymChad,24.1k,1506,37,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
Material Dialogs,Afollestad,19.7k,2020,94,https://github.com/afollestad/material-dialogs
PhotoView,Baseflow,18.7k,462,40,https://github.com/Baseflow/PhotoView
Tinker,Tencent,17.4k,842,31,https://github.com/Tencent/tinker
Material Animations,Lgvalle,13.5k,76,9,https://github.com/lgvalle/Material-Animations
Plaid,Nickbutcher,16.2k,1277,65,https://github.com/nickbutcher/plaid
SlidingMenu,Jfeinstein10,11.1k,336,23,https://github.com/jfeinstein10/SlidingMenu
Jenkins,Jenkinsci,22.6k,35010,785,https://github.com/jenkinsci/jenkins
ExoPlayer,Google,21.6k,18874,239,https://github.com/google/ExoPlayer
GreenDAO,Greenrobot,12.6k,885,6,https://github.com/greenrobot/greenDAO
Realm Java,Realm,11.5k,9005,105,https://github.com/realm/realm-java
Logger,Orhanobut,13.8k,146,11,https://github.com/orhanobut/logger
Bazel,Bazelbuild,22.6k,39876,974,https://github.com/bazelbuild/bazel
Mybatis 3,Mybatis,19.5k,5025,222,https://github.com/mybatis/mybatis-3
Dagger,Square,7.3k,703,36,https://github.com/square/dagger
Guice,Google,12.4k,2118,78,https://github.com/google/guice
Auto,Google,10.4k,1858,80,https://github.com/google/auto
Junit4,Junit team,8.5k,2513,154,https://github.com/junit-team/junit4
Mockito,Mockito,14.6k,6089,290,https://github.com/mockito/mockito
Javapoet,Square,10.7k,923,81,https://github.com/square/javapoet
OpenRefine,OpenRefine,10.6k,8137,343,https://github.com/OpenRefine/OpenRefine
J2obc,Google,6k,5804,92,https://github.com/google/j2objc
Rebound,Facebookarchive,5.4k,125,12,https://github.com/facebookarchive/rebound
Scribejava,Scribejava,5.4k,1262,106,https://github.com/scribejava/scribejava
Moshi,Square,9.6k,1260,86,https://github.com/square/moshi
Socket.io client java,Socketio,5.3k,329,21,https://github.com/socketio/socket.io-client-java
